Sign,Unicode,Transliteration,Keystrokes
𒀀,U+12000,A,a
𒀁,U+12001,A x A,a.a
𒀂,U+12002,A x BAD,a.bad
𒀃,U+12003,A x GAN2 tenû,a.gan2
𒀄,U+12004,A x ḪA,a.ha
𒀅,U+12005,A x IGI,a.igi
𒀆,U+12006,A x LAGAR gunû,a.lagar
𒀇,U+12007,A x MUŠ,a.mush
𒀈,U+12008,A x SAG,a.sag
𒀉,U+12009,A2,a2
𒀊,U+1200A,AB,ab
𒀕,U+12015,AB gunû,ab
𒀋,U+1200B,AB x AŠ2,ab.ash2
𒀌,U+1200C,AB x DUN3 gunû,ab.dun3
𒀍,U+1200D,AB x GAL,ab.gal
𒀎,U+1200E,AB x GAN2 tenû,ab.gan2
𒀏,U+1200F,AB x ḪA,ab.ha
𒀐,U+12010,AB x IGI gunû,ab.igi
𒀑,U+12011,AB x IMIN,ab.imin
𒀒,U+12012,AB x LAGAB,ab.lagab
𒍰,U+12370,AB x NUN,ab.nun
𒀓,U+12013,AB x ŠEŠ,ab.shesh
𒀔,U+12014,AB x U + U + U,ab.u.u.u
𒀖,U+12016,AB2,ab2
𒍱,U+12371,AB2 x A,ab2.a
𒀗,U+12017,AB2 x BALAG,ab2.balag
𒀘,U+12018,AB2 x GAN2 tenû,ab2.gan2
𒀙,U+12019,AB2 x ME + EN,ab2.me.en
𒀚,U+1201A,AB2 x ŠA3,ab2.sha3
𒀛,U+1201B,AB2 x TAK4,ab2.tak4
𒀜,U+1201C,AD,ad
𒀝,U+1201D,AK,ak
𒀞,U+1201E,AK x ERIN2,ak.erin2
𒀟,U+1201F,AK x ŠITA + GIŠ,ak.shita.gish
𒀠,U+12020,AL,al
𒀡,U+12021,AL x AL,al.al
𒀢,U+12022,AL x DIM2,al.dim2
𒀣,U+12023,AL x GIŠ,al.gish
𒀤,U+12024,AL x ḪA,al.ha
𒀥,U+12025,AL x KAD3,al.kad3
𒀦,U+12026,AL x KI,al.ki
